,식단이름,만개의레시피이름,재료,만드는순서,만드는이미지
775,깻잎장아찌,깻잎장아찌 밑반찬 된장 깻잎 짜지 않게 담는 법,[재료] 깻잎 300g 베이킹소다 2T 식초 2T [깻잎 삭힘재료] 물 5컵 천일염 1/2컵 [재료] 삶은 콩 1.5컵 된장 1컵 고춧가루 2T,"['깻잎은 베이킹소다에 10분 정도 담갔다가 흐르는 물에 한 장씩 씻어서\n식초물에 잠시 담갔다가 건져서 물기를 빼줍니다', '물기를 뺀다음 깻잎 꼭지를 가위로 잘라줍니다', '물 5컵에 천일염을 넣고 팔팔 끓여줍니다', '깻잎을 지그재그로 담고 뜨거운 소금물을 부어줍니다', '깻잎이 뜨지 않도록 접시로 눌러줍니다\n소금물에 3~4일 정도 절여줍니다', '메주콩 1컵을 씻어서 한나절 담가 줍니다', '담가놓았던 콩은 15분 정도 삶아줍니다', '삶은 콩은 푹 삶아서 으깨주면 됩니다\n저는 그냥 믹서기로 갈아주었어요', '물은 될 수 있으면 적게 넣고 갈아 놓았어요', '된장만으로 양념을 하면 많이 짜기 때문에 콩 간 것과 섞어줍니다', '다진 마늘과 매실청도 넣어줍니다', '생강 즙도 넣어줍니다', '양파도 갈아서 된장에 섞어줍니다', '모든 재료를 잘 섞어준 다음 참치 액도 넣어줍니다\n간도 짜지 않고 양념이 너무 맛있어요\n이 양념으로 된장찌개 끓여도 짜지 않고 너무 맛있을 것 같아요', '소금에 절였던 깻잎을 꼭 짜줍니다', '양념을 일부러 넉넉히 만들었어요\n모자라는 것보다 남는 것이 좋더라고요\n양념이 남으면 나중에 깻잎을 더 절여서 만들 수 있으니깐요', '소금물에 절인 깻잎을 5장씩 놓고 양념을 켜켜이 발라줍니다', '양념이 짜지 않아서 지그재그로 올려서 켜켜이 발라줍니다', '된장 발라놓은 깻잎장아찌 손은 많이 가는데 양은 얼마 안 되네요!~', '그릇에 담고 보니 얼마 안 되네요\n조금씩 덜어서 비닐 랩 4곳에 나누어 담아 놓았어요\n조금 남은 것은 냉장고에 넣어 숙성된 다음 먹어야 하니깐요', '당장 먹고 싶은 마음 간절하지만\n아직 된장 양념이 배어들지 않아서\n조금 지난 다음 먹으면 정말 맛있을 것 같지 않나요']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/10/24/ec232d6cc4119b1effcc302bc9eec7531.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/24/8fcd1f644c015cc96e35a8990bce57d31.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/24/0f34aa6843864cc4f1c9139edb11b2d51.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/24/8687e85f1779f3ccf935e6025814170c1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/24/761c874bd96f124912f79fe7fb1302511.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/24/6d17703d6e21e155788f5bba429a649d1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/24/22f8ddfaf56232ad526034db88ff6b771.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/24/3b785713fc0cae5ba7985088695580101.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/24/c20f40e8c333099d5e38cf3497cebb141.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/24/801c01b0b04d9ac88b93d3dc377bfa611.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/24/9d4f5e54bcdd06ebbc48c4675eadc8131.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/24/18464a97516ff1f99676dc4bf438e3d91.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/24/07feef64189a7d94df0dfe3c72fd92221.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/24/8dbb07ab491a2e717142dd58eeb4f4a71.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/24/ef3fce6c7a8dafa6f02f0d156e850f1e1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/24/0fd2e1efde0c047824700e608bb6d22c1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/24/f7091d4c791838069e0d0c4a6e3119061.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/24/fc8f84f4c42ddc7d74a7db979f42921b1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/24/be5e44e3dbe71743afd0cfc291de0cbe1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/24/4035f166372597924f0636967c82d4891.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/24/37e4d6dcb5a171c932a1ba5e1d3da1481.jpg']"
776,더덕구이,더덕무침 더덕구이,[재료] 더덕 1kg 쪽파 4줄기 [양념] 간장 5T 고추장 1T 고춧가루 3T 매실청 3T 물엿 3T 다진마늘 1T 깨 1T 참기름 1T,"['농수산물에 알타리김치사러가다\n더덕이 보여 1키로 만원이라 구매했습니다ㅋ\n더덕껍질을 벗기려면 뜨거운물받아서 까면 잘 벗겨져요 ㅋ\n껍질을 다 까고 한번씻고 반으로 쪼개주세요', '도마위에 놓고 마늘찧는방망이로 찧어주세요ㅎㅎ', '양념장을 만들어주세요\n간장ㆍ고춧가루ㆍ고추장ㆍ매실청 ㆍ다진마늘 ㆍ물엿ㆍ참기름', '3)번에 찧어놓은더덕을 넣고\n무쳐주세요', '요렇게 만들고 무침으로 먹어도 되구여ㅎㅎ\n팬에 기름넣고 가열한후 볶으면\n더덕구이가 된거네요ㅎㅎ', '마지막 쪽파올려주셨도 되구여\nㅎㅎ\n전 깜빡해서 ㅋㅋ']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/11/06/6aeb58b76e117c986e19a74b50a0b4961.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/06/c569a996a49a019a500dcee4d1b43ed11.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/06/392146eebfe6887010119bd65161b74b1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/06/6a73b5a6212ac652873e873c1fe71b051.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/06/61ddff19a3745cc32ba05f8f524df00c1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/06/c542716ae6d4535f6c1ba075c1daa4021.jpg']"
777,고추잎나물,친정엄마가 전수해준 고추잎나물,[재료] 고추잎 참기름 1T 액젓 1T 소금 적당히 다진마늘 1T 대파 1대 깨 적당히,"['고추잎은 억센 줄기는 떼어 버리고\n끓는물에 소금을 약간 넣고 데쳐주세요\n씻어서 물기를 살포시 짜주세요', '다진마늘1, 참기름1,깨,파를\n준비해주세요\n액젓 1를 넣고\n부족한 맛은 소금으로\n간을 맞추고 무쳐주었답니다.', '비타민 c가\n풍부한 고추잎 나물 무침 완성']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/04/15/c80bc563964c925a87b54db6fa4d84e21.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/04/15/b34fd21bab4f52d7268405d0a4f904161.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/04/15/bf5e0394b2f15810cc9021a11e4054dc1.jpg']"
778,비빔밥,초간단 비빔밥,[재료] 고추잎 참기름 1T 액젓 1T 소금 적당히 다진마늘 1T 대파 1대 깨 적당히,"['재료를 준비해요\n젤 먼저 도라지에 소금뿌려 두었다가 숨이 죽으면\n바락바락 치데면서 행굴거에요\n나머지 재료는 바로 조리할수있게 행궈요\n행구고 호박은 좀크게 채썰고 고사리도 2번정도 자르고,버섯찢고,케일도크게자르고 마지막에 도라지 행궈요', '콩나물부터 삶아요', '콩나물삶은물에 호박을 삶아요\n호박은 살짝만삶아요\n아삭한 식가이나게요', '호박삶은물에 케일삶고\n케일도 넣다 빼듯이 살짝만', '계속 같은물에 버섯', '도라지\n도라지도 살짝만 삶아요\n물컹하지않게', '고사리 삶아요\n고사리는 삶고나면 물에 색이좀나서 마지막에 삶아요', '비빔밥야채 준비 다 했어요\n나물에 간은 안했어요\n나물을 볶지않고 모두 삶았어요', '계란3개 굽고', '양푼이에 밥담고', '야채담고 고추장을 듬붘 넣어요\n나물에 간이 안되있어서\n고추장으로 모든간을 다\n맞추어요', '계란 넣고', '깨,참기름 넣고 비벼드시면 간단하게 만들어 드실수 있어요']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/07/25/ab810de5b8838e63f5c6ae8e0af331201.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/07/25/4aa18a99abacddedb674244d50bde2611.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/07/25/b40a2eee6bbfd9bf3ab670de5649e4cc1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/07/25/9fe0eda1871765d917b56648f97702531.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/07/25/0e47dd09e6a1a27395d7bf07ca9476ad1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/07/25/2105f383f271b388d66255d9d95976411.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/07/25/c4bb88d75487bc87b7100d2a449c6e1e1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/07/25/c41bbc7607c27de73694d4bac7bef8601.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/07/25/862b1f0fd09685b58d313269cae4dc291.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/07/25/40eba4369f604abee5be790e2b70f1931.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/07/25/be18e6e5ac4ccf49d623c1a2312670ac1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/07/25/675dd994c98216eb1acf91148acabb6f1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/07/25/316b6bdead06164b7aa24a0ce02137001.jpg']"
779,율무밥,율무밥,[재료] 율무쌀 1/2컵 쌀 1컵,"['율무쌀은 바로 밥을 하면 단단해서 못먹어요. 3시간 이상 불려주세요\n율무쌀을 씻어서 물넣어서 일주일치씩 냉장고에 넣어두고 밥할때마다 조금씩 넣으면 편합니다.', '율무쌀이 다 불려졌으면 쌀을 씻어서 함께 압력밥솥에 넣고 취사누릅니다.\n일반솥에는 율무쌀을 12시간이상 불려서 밥을 합니다.', '여러가지 잡곡 중 율무쌀은 구수한맛과 향이 젤 좋은거 같습니다.\n율무쌀은 수분흡수를 잘 해요. 일반 쌀밥 지을때보다 1스푼씩 밥물을 더 넣어주세요', '쌀과 율무쌀의 비율이 보편적이구요. 전 쌀과 율무쌀을 동량으로 넣어서도 잘 지어먹습니다. 토돌토돌 씹히는 율무의 식감이 참 좋아요']","['http://recipe1.ezmember.co.kr/cache/recipe/2018/03/09/659185fd80af4e38a589c046969423b91.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/03/09/61ee30e3a1f7177070cd47e109a8a0811.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/03/09/070d0146f93b7b45e9babc859dc97a631.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/03/09/88ecaa13977f91bce5a8c19798859d011.jpg']"
780,가자미조림,가자미조림,[재료] 가자미 3마리 양파 1/4개 당근 3cm 풋고추 1개 [양념] 물 300ml 간장 4큰술 설탕 2큰술 고추가루 2큰술 소주 1큰술 다진마늘 1/2큰술 깨 2작은술 참기름 1작은술 흑후추가루 1/2작은술,"['가자미는 머리,꼬리 잘라내고 비늘,내장 제거한뒤 살이 두꺼운부분은 살짝 칼집을 넣어 준비한다.', '양파,당근,풋고추는 얇게 채썰어 준비한다.', '양념재료 중량대로 넣고 양념장을 만들어 준비한다.', '팬에 식용유를 두르고, 손질한 가자미를 올려 노른하게 지져준다.\n(너무 많이 뒤집으면 생선이 망가질수 있으니 주의할것)', '생선이 익으면 그 위에 준비한 양념장을 골고루 끼얹어 중불로 끓여준다.', '양념이 팔팔 끓으면 위에 준비한 야채를 골고루 올려준뒤, 야채 위에도 양념장을 끼얹어 약불로 끓여준다.\n(농도가 어느정도 나오면 불을 끄고 완성)']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/08/01/040eeb2d6e5f23d559a3f6331d2204801.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/08/01/9241dd084989f5939365d076f628cb461.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/08/01/54a2654ece4201f5ac137dc793ef034a1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/08/01/a030ccebe98fb19cb1bd9da782ebf9cc1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/08/01/fa32c4d04cd8e3a705ffdd10ac93d6f91.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/08/01/b82df73dbec63375c275f6aa864820151.jpg']"
781,된장찌개 두부,우삼겹 두부 된장찌개,[재료] 우삼겹살 150g 두부 1/4모 호박 1/2개 새송이버섯 1/2개 대파 1/2개 양파 1/2개 청양고추 1개 홍청양고추 1개 물 800ml [양념] 집된장 11/2~2큰술 맛술 1큰술 다진마늘 1큰술,"['호박,양파,대파,새송이버섯,청양고추,홍청양고추는 작게 썰어주세요', '두부는 사각모양으로 썰고\n우삼겹도 작게 썰어 주세요', '냄비에 다진마늘 1큰술을 넣고 우삼겹을 넣고 볶다가', '맛술 1큰술을 넣고 볶아 주세요.', '물을 붓고 끓여주세요\n불순물과 기름을 걷어내고', '된장을 풀어 준후 호박,양파,새송이버섯,대파를 넣고 끓여 주세요.', '호박이 거의 익어갈 쯤 두부와 청양고추 홍청양고추를 넣고 끓여 주세요', '식탁에 올릴 냄비에 담아 봤습니다.\n뚝배기에 담으면 더 좋겠네요.']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/10/22/4ecd87617b28e86ee0f4a1d02d8ae0b51.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/22/a50bab6cd0f40f0b0b96408df8d525251.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/22/11a4a0d1a943a7d401d2b4d5d46677d11.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/22/14742f012c7856a7a32af305e52731ef1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/22/a9e7177938278b80e687400dadb560201.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/22/f871606e652771ef138ea80a58b5a54f1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/22/43a8b4e7cd23cde34f32fd29e5a556831.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/22/fb57efd76ae6a0fe2f0923aa9e31293a1.jpg']"
782,홍어회,홍어회,[재료] 우삼겹살 150g 두부 1/4모 호박 1/2개 새송이버섯 1/2개 대파 1/2개 양파 1/2개 청양고추 1개 홍청양고추 1개 물 800ml [양념] 집된장 11/2~2큰술 맛술 1큰술 다진마늘 1큰술,[],[]
783,피조개무침,약고추장에 버무린 피조개무침,[재료] 피조개 1키로 양파 1/2개 미나리 30g 청고추 1개 홍고추 1개 파 1뿌리 [양념] 고추장 2스푼 마늘 2스푼 식초 2스푼 설탕 2스푼 통깨 약간,"['피조개 무침에 들어갈 전쳬샷 입니다', '피조개는 솔로 껍질을 씻어 소금 넣어 해감을 시켜줍니다', '냄비에 피조개가 충분히 잠기게 물을 부어 물이 팔팔 끓으면서 피조개가 입을 열기 시작하면 불을 끄고 식혀 껍질을 분리 시키고 삶은 피조개는 속에 흑뻘이 있어 2번 더 씻어', '뜨거운 물에 살짝 데쳐 냈어요', '데쳐낸 피조개는 채에 바쳐 물기를 빼줍니다', '약고추장2 설탕2 식초2 마늘2 넣어 초고추장을 만들어 줍니다', '만들어둔 초고추장에 피조개 넣어 버무리다가', '썰어둔 양파 부추 청홍고추넣어 살짝 버무려 주세요', '간을 보고 간이 부족하면 소금으로 간을 하고 야채와 피조개가 골고루 섞이게 무쳐 주세요', '새콤 달콤하게 무쳐진 피조개무침 참기름 1스픈 넣어 갓지은 밥이랑 비벼 먹어도 좋아요']","['http://recipe1.ezmember.co.kr/cache/recipe/2016/10/10/80ac3bd806264f0ca0fb697af84eed871.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/10/10/29648d3c5da01e0f0572e51ee4de5f3e1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/10/10/67cbd6a97561cad514874f926c2622891.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/10/10/023d72edf85cbf01fab17e840a3caf7c1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/10/10/703be6bdc4b1238e714d1158965575001.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/10/10/2eb3491f4d647e3802c6fcda076fa3911.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/10/10/d64784d261c5ce9900e315ba2be751461.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/10/10/1cf6c46cb02c2101c0f22b6e75f240251.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/10/10/4bf635f16082e9a489893d1a087dd69c1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/10/10/87f65420157b9fb14ffa682ad180c17e1.jpg']"
784,가지볶음 양파,영양반찬~보라빛이 두배 적양파가지볶음!,[재료] 적양파 1개 가지 2개 새송이버섯 1개 깻잎 3~4장 [양념] 소금 1/2큰술 시판용마파두부소스 1팩 다진마늘 1큰술 다진파 2큰술 요리유 2~3큰술,"['적색양파 1개를 반으로 잘라서 굵직하게 썰어주세요', '가지 2개를 준비해주시고\n반으로 자르시어 어슷하게 약간 두툼하게 썰어주세요', '썰어주신 가지에 소금 1/2큰술을 뿌려서 5분간 절여주신다음 물기를 꼭 짜주세요', '새송이버섯 1개를 반달모양으로 잘라서 준비해주시고 깻잎 3~4장을\n얇게 썰어서 준비해주세요', '팬에 요리유 2~3큰술을 넣고 다진파 2큰술과 다진마늘1큰술을 넣고 먼저 볶아주세요', '절여 물기를 짜낸 가지를 먼저넣고 살짝 한번 볶아준후\n바로 적양파와 새송이버섯을 넣어서 볶아주세요', '시판용 마파두부소스 1팩을 뜯어서 부어주세요\n*소스가 들어가면 가스불을 중불로 내려주세요', '소스가 고루섞이도록 잘섞어가면서 볶아주세요', '적양파가 투명해질정도로만 후다닥 볶아주세요\n가스불을 끄시고 깻잎 썰어둔것을 넣고 섞어주세요', '집에서도 간단하게 중화풍 가지요리를 즐길수 있는 적양파가지볶음이 완성이 되었네요']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/08/08/e58a4eed9819c585e5f4c5fcf9b56ce41.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/08/08/2fecca0c522456e445a6b47d4b1ff3231.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/08/08/d5daf6389a204f922d88ac31914a08671.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/08/08/48664a0a5546b2d9e1d4835a463443cf1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/08/08/9745c58e7e7b49877451facd52b85f841.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/08/08/ffa93a347460879a705c34cb6cfadf3f1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/08/08/930f4ae0dfd53784b0146beda12958cb1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/08/08/59c1f62f019d67935683473c6900cb481.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/08/08/6adc6f092fd693a4e843f4d6f85281481.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/08/08/c454b79e5dd7ebb5cd1bc901ec4ca7a71.jpg']"
785,깻잎볶음,향긋한 깻잎볶음,[재료] 깻잎(깨바라) 1근 [양념] 식요유 2T 들기름 1T 다진마늘 1T 간장 2~3T 굵은소금 1T 국간장 1T 깨소금 적당히,"['농수산물에 가보니\n깻잎 순 한 근에 3천원이라\n구매^^\n씻기 전에 깻잎쌈을 좋아해\n좀 큰거들은 빼놓았습니다 ㅎㅎ\n물에 여러번 깨끗하게 씻어주세요', '냄비에 물을 넣고\n팔팔끓으면 굵은소금1수저 넣고\n①깨순을 넣어 데쳐주세요\n살짝^^\n전 이번 깨순이 좀 질겨서\n30초정도 삶은거 같아요', '데친 깨순은 바로 찬물속으로~~~\n한번 헹궈주신후 다시 한번 찬물을 받아 넣어주세요', '③을 적당히 짜 주세요\n완전꾹!!! 짜면 안되고요', '볼에 넣고 살살 풀어주신후\n앗 잠깐요!!!\n깨순은 구지 칼로 자르지 않아도 된답니다', '후라이팬에 ⑤번을 넣고\n식용유2T 들기름1T 국간장1T 넣고 조물조물 무쳐주세요', '불을 키고 면장갑에 비닐장갑끼고\n자 이제 조물조물 무치며 살살 풀어가면서 볶아주세요\n3분정도 볶은후 중불로 한후 간장2T 다진마늘1T\n넣고 2분 더 살살 풀어가면서 볶아주시면 된답니다^^\n(손가락이 아퍼서 젓가락으로 하기 힘들어서죠ㅋ)\n젓가락으로 가능 합니다ㅎㅎ', '마직막 으로 깨소금을 적당히 뿌려주신후\n그릇에 이쁘게 담아 주세요\n딱 한접시 나오네요\n깻잎 볶음 완성']","['http://recipe1.ezmember.co.kr/cache/recipe/2018/08/29/10e7e8686c5260cf0cb0c8e8858795c11.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/08/29/4676f3d60be77856e3a926109e5c81cb1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/08/29/d48cb141799efb52b2171ddd9bb387641.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/08/29/94a3f2468843b949cb9de7d3873b10361.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/08/29/f1d4e5b4278c3fac1fd9ea398ee3ca7f1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/08/29/2ec10f78d458d595b4c441c8fcd08d0b1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/08/29/8433b33b059bb49cf277acdd4cb113491.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/08/29/9920b30163b948b958856d11a2611f411.jpg']"
786,서대조림,반건조 서대조림,[재료] 반건조 서대 3마리 감자 1개 양파 1/2개 대파 1/2대 다시마밑국물 또는 물 2컵 식용유 1큰술 [양념] 간장 3큰술 매운 고추가루 3큰술 고추장 3큰술 생강 맛술 2큰술 설탕 1/2큰술 다진마늘 2큰술 매실청 1큰술 후추 약간,"['서대는 꼬리는 제거하고 반으로 잘라주세요.', '감자는 납작썰기,대파 어슷썰기,양파는 채 썰어주세요.', '위의 분량의 양념을 넣고 섞어 양념장을 만들어주세요.', '냄비에 식용유를 1큰술 두르고 감자를 넣고,', '서대를 넣고', '대파,양파를 넣고', '양념장을 넣고 다시마밑국물을 붓고 끓여주세요. (센불)', '감자가 익을때 까지 끓여주세요. (중약불)', '완성그릇에 담아주세요.']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/04/15/ad00d3dd31f2e0f3387ae96b1eda6faa1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/04/15/a64aaebd691cfd040d393b33684871ea1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/04/15/5126849989e7c8f51a66e99a40e6aab21.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/04/15/4f498fcbc013aaa83d7146a64f7ff4881.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/04/15/05d2dd0e3e41232e2f877606012420b81.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/04/15/587a65149c234e36d26213f907f917f81.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/04/15/cfc138023916649d8d80f0865078a7de1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/04/15/dd2932b16beccc550666b531c97cf6091.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/04/15/1e8e07eff092cf80ea59d322617257521.jpg']"
787,호박찌개,칼칼한 호박찌개,[재료] 호박 1개반 양파 1/2개 감자 1개 건새우 많이 대파 마늘 1작은술 [양념] 멸치다시마육수 소금 고춧가루 2 청량고추(선택사항),"['야채를 깨끗이 씰어서 준비합니다.', '먹기 좋은 크기로 썰어주며 호박은 조금 두툽하게 썰어야 씹는 맛이 좋습니다.', '육수가 우러나면 멸치, 다시마, 표고버섯, 건새우를 다 건져내고 호박,감자,양파를 넣어주세요.(단 대파와 청양고추는 나중에 넣어주세요.) 마지막으로 다진마늘, 고춧가루 2큰술 넣어주세요.', '감자, 호박, 양념을 넣고 호박과 감자가 다 익을 때 쯤 대파 넣어주세요. 얼큰하게 드실 분은 청양고추 넣고 소금으로 간해주세요.(워낙 건새우 육수를 진하게 하기 때문에 새우젓으로 간하지 않으며 육수 드셔보시고 조금 허전하다 싶으면 새우젓으로 간을하셔도 좋습니다.)']","['http://recipe1.ezmember.co.kr/cache/recipe/2015/05/04/7403ea07fde51a0d868b2340e5b16d711.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/05/04/644b192b8b5a2609c253d27ef882e8b51.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/05/04/7015b82d45a877ffbc077bb788b331ba1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/05/04/ae63fc0308741b1996a55df2f52e92191.jpg']"
788,짜장볶음,양배추 자장볶음,[재료] 양배추 300g 소금 1꼬집 후춧가루 1꼬집 짜장가루 3Ts,"['양배추는 깍둑 썰어 준비한다.', '프라이팬에 기름을 두르고 양배추, 소금, 후춧가루를 넣고 볶아준다.', '양배추가 익으면 짜장분말을 넣고 볶는다.']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/06/15/18758cafcaecee8bdf769b758c0c3e5d1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/15/239b8cb7229ed5ec82065d668b8036eb1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/15/b89e0de5c8941ffd643098cc0d7438911.jpg']"
789,뱅어포튀김,"♬ 간식, 안주, 밑반찬이 되는 뱅어포 구이와 튀김",[재료] 양배추 300g 소금 1꼬집 후춧가루 1꼬집 짜장가루 3Ts,[],[]
790,노각나물 노각무침,"가지나물,무침/노각무침/복숭아통조림 만들기/여름철 제철과일,채소, 초보자도 만들수있어요~",[재료] 양배추 300g 소금 1꼬집 후춧가루 1꼬집 짜장가루 3Ts,[],[]
791,양배추겉절이,양배추겉절이,[재료] 양배추(소) 1/4개 오이(소) 1/2개 다진마늘 1스푼 썰은 파 2스푼 [양념] 소금 1/2스푼 고춧가루 2+1/2스푼 설탕 1스푼 통깨 1/2스푼 참기름 1스푼,"['양배추와 오이를 한입크기로 먹기좋게 썰어주세요.', '믹싱볼에 함께 담아줍니다.', '분량의 다진마늘, 파, 소금, 고춧가루, 설탕, 통깨, 참기름를 넣고 버무려줍니다.']","['http://recipe1.ezmember.co.kr/cache/recipe/2015/06/24/dbbe98f34f093405a6763d9a3bd3177a1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/06/24/e6db490595192a6aaa160d18771ebf531.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/06/24/b7b059b9fcd716fe9529ac91b55ca7441.jpg']"
792,복구이,초간단~ 감자샐러드 - 딸에게# / 감자샐러드만드는법,[재료] 양배추(소) 1/4개 오이(소) 1/2개 다진마늘 1스푼 썰은 파 2스푼 [양념] 소금 1/2스푼 고춧가루 2+1/2스푼 설탕 1스푼 통깨 1/2스푼 참기름 1스푼,[],[]
